Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,116.394005,124.960587,105.187134,108.847824,108.847824,532888254
2017-11-12,108.744873,108.999641,95.300415,99.023003,99.023003,996863292
2017-11-13,99.434814,113.505013,98.886818,110.355545,110.355545,800784684
2017-11-14,110.529594,113.545265,102.564857,104.154732,104.154732,512055840
2017-11-15,103.840157,106.273689,97.596329,99.877167,99.877167,496987530
2017-11-16,101.556961,109.781677,100.312813,103.022392,103.022392,582950906
2017-11-17,103.161461,103.331871,97.209457,98.188507,98.188507,553159688
2017-11-18,98.253517,109.007469,97.399933,108.848190,108.848190,2091196173
2017-11-19,108.785133,110.596962,101.922684,104.911186,104.911186,2475691317
2017-11-20,105.679604,108.100014,101.130203,105.743568,105.743568,845876978
2017-11-21,107.938576,108.036217,100.538116,102.109268,102.109268,352944047
2017-11-22,103.175087,105.178268,101.082382,104.554222,104.554222,465571990
2017-11-23,104.479622,104.874031,99.259125,99.976326,99.976326,541786875
2017-11-24,101.321007,117.742897,100.420471,111.084305,111.084305,786089718
2017-11-25,111.036446,126.600578,109.549042,121.183174,121.183174,830356333
2017-11-26,122.532837,125.156502,118.135277,119.841919,119.841919,585706490
2017-11-27,120.986580,125.545364,115.417717,125.268784,125.268784,1471687968
2017-11-28,126.291962,126.291962,120.339134,123.461884,123.461884,2342723880
2017-11-29,123.927498,131.937744,108.311989,112.710960,112.710960,2816309925
2017-11-30,113.348663,132.464020,113.348663,128.764633,128.764633,2034956560
2017-12-01,128.763336,137.826462,123.993111,133.550537,133.550537,1862223072
2017-12-02,133.991135,136.481216,128.819366,134.449173,134.449173,1569702477
2017-12-03,134.529800,153.607986,132.515793,143.679901,143.679901,2268397385
2017-12-04,145.669388,166.012268,145.669388,160.389435,160.389435,2653730494
2017-12-05,161.041519,175.845322,161.041519,167.007553,167.007553,3165376500
2017-12-06,166.050674,178.816422,151.379639,166.957764,166.957764,2692516380
2017-12-07,164.487289,188.184738,160.618027,179.473572,179.473572,1826912424
2017-12-08,178.579407,184.963776,145.674469,182.493301,182.493301,2491668795
2017-12-09,182.193512,184.857422,150.237656,168.294418,168.294418,1754679990
2017-12-10,171.576584,173.775024,142.588303,160.102875,160.102875,1241595495
2017-12-11,162.014404,181.825897,161.109344,174.172928,174.172928,1250127450
2017-12-12,175.447052,178.901688,168.520508,172.897903,172.897903,1579294080
2017-12-13,173.047943,185.311356,165.600739,179.048553,179.048553,1832281275
2017-12-14,178.748199,203.201752,178.697937,203.201752,203.201752,2594769849
2017-12-15,203.070511,282.628784,201.588318,256.033325,256.033325,3379429813
2017-12-16,267.073853,302.757019,251.051895,298.864136,298.864136,3459933768
2017-12-17,299.164612,432.500061,299.164612,368.833069,368.833069,6289085572
2017-12-18,371.119049,399.346527,338.972260,360.537567,360.537567,4277241540
2017-12-19,362.537384,419.047760,358.220612,370.998718,370.998718,4271827560
2017-12-20,370.761749,370.761749,316.265533,331.846832,331.846832,3068746959
2017-12-21,332.404572,365.166595,308.201874,331.572418,331.572418,3002421055
2017-12-22,333.201508,333.667480,224.904541,277.556976,277.556976,2347413126
2017-12-23,281.321381,328.659973,275.730133,309.761047,309.761047,2107868503
2017-12-24,303.525177,338.336365,268.755585,338.336365,338.336365,2795758369
2017-12-25,339.802216,445.203644,336.087036,419.906250,419.906250,4248625344
2017-12-26,419.859497,680.239258,416.028168,578.244080,578.244080,10746744008
2017-12-27,592.642822,725.036133,544.372314,647.959778,647.959778,10758170880
2017-12-28,649.197083,653.589233,522.368835,597.222778,597.222778,7002722860
2017-12-29,597.043945,610.897827,544.883911,562.189087,562.189087,4522317202
2017-12-30,556.199951,559.221008,458.806213,500.491669,500.491669,4655371092
2017-12-31,495.532074,564.201050,492.064850,551.209045,551.209045,4782648112
2018-01-01,550.822876,554.008789,506.803314,535.800293,535.800293,4229471790
2018-01-02,538.544006,578.828369,523.393311,560.756531,560.756531,6648862050
2018-01-03,556.465393,608.379517,541.816162,605.528381,605.528381,6912102000
2018-01-04,599.810852,605.694153,561.351807,584.120911,584.120911,10068331012
2018-01-05,579.790405,1059.651367,576.079773,944.706299,944.706299,21627511143
2018-01-06,941.647461,1488.774292,938.626648,1441.378174,1441.378174,40342539423
2018-01-07,1441.967163,1441.967163,1155.297485,1181.535156,1181.535156,16342306500
2018-01-08,1180.882813,1219.683960,974.233948,1159.019409,1159.019409,18826343444
2018-01-09,1153.503784,1289.729370,1069.661133,1108.522217,1108.522217,12398758750
2018-01-10,1127.373413,1127.373413,966.152405,1106.402710,1106.402710,9325546840
2018-01-11,1117.587158,1474.351196,975.113037,1339.999146,1339.999146,24786039040
2018-01-12,1367.578857,1582.665649,1269.167969,1419.316650,1419.316650,24647415782
2018-01-13,1421.161133,1505.214844,1359.348267,1410.291870,1410.291870,11554593600
2018-01-14,1415.322632,1415.322632,1217.176880,1321.436279,1321.436279,8219600400
2018-01-15,1322.905396,1497.960571,1227.705444,1242.554077,1242.554077,15506220540
2018-01-16,1246.955444,1246.955444,668.596558,889.220520,889.220520,25600864022
2018-01-17,872.008240,992.865417,616.976257,907.300415,907.300415,19126375191
2018-01-18,910.328308,1019.499268,862.650757,911.946350,911.946350,13084850651
2018-01-19,913.874939,998.301147,893.337585,953.509094,953.509094,8927269240
2018-01-20,959.482605,1062.756104,959.482605,1033.264893,1033.264893,10003465389
2018-01-21,1037.004761,1037.004761,852.577759,897.838928,897.838928,9034486840
2018-01-22,906.161011,922.218140,761.104675,831.372620,831.372620,8817100880
2018-01-23,830.535828,890.261719,751.529419,834.710632,834.710632,5846270250
2018-01-24,840.900757,903.799316,815.311462,867.466797,867.466797,6730096400
2018-01-25,875.855835,898.007629,830.411377,840.135681,840.135681,6709704480
2018-01-26,839.024292,863.132629,781.697021,840.280945,840.280945,7210681530
2018-01-27,841.234558,854.469788,819.684326,842.493225,842.493225,5340477558
2018-01-28,845.589050,878.060608,839.365601,860.750549,860.750549,5967386081
2018-01-29,861.081055,869.173523,806.130432,811.694519,811.694519,4533604791
2018-01-30,812.273193,812.273193,704.116150,716.444580,716.444580,3781929728
2018-01-31,717.565369,726.507263,671.912476,708.153320,708.153320,3204639900
2018-02-01,710.269165,729.583435,557.536133,608.728271,608.728271,5308499274
2018-02-02,601.827209,670.494446,462.754333,618.904846,618.904846,5864940984
2018-02-03,621.749817,658.666260,552.180908,625.149475,625.149475,3626383544
2018-02-04,624.890442,624.890442,519.548340,542.367981,542.367981,3205358800
2018-02-05,540.373230,548.336243,392.662811,429.993561,429.993561,3544907597
2018-02-06,436.486115,549.436768,359.553284,532.144165,532.144165,6239591837
2018-02-07,533.841003,592.612061,471.568573,520.266296,520.266296,5011151438
2018-02-08,520.183411,560.447388,520.183411,552.604675,552.604675,5303667840
2018-02-09,553.322144,636.275635,537.006836,626.057800,626.057800,597345
2018-02-10,626.203857,666.768311,569.313782,595.529114,595.529114,5155126688
2018-02-11,591.983948,601.288208,524.013916,560.073914,560.073914,4410802964
2018-02-12,560.494690,604.473083,560.494690,599.155151,599.155151,3264440402
2018-02-13,598.846619,600.792114,563.864502,577.490479,577.490479,2672791884
2018-02-14,579.362366,682.598938,576.229431,666.626465,666.626465,4408556652
2018-02-15,665.991943,721.407959,647.436401,698.388000,698.388000,6961582180
2018-02-16,697.352966,719.590759,667.279358,719.590759,719.590759,4569506832
2018-02-17,711.554382,762.573730,703.607849,750.920593,750.920593,4888246697
2018-02-18,751.132629,751.627258,686.089661,687.522217,687.522217,3985751528
2018-02-19,685.235229,719.160339,684.252319,711.502930,711.502930,3526698912
2018-02-20,712.505127,725.846619,635.101990,642.307434,642.307434,4313329140
2018-02-21,640.566895,660.329285,592.330200,607.875183,607.875183,3569676480
2018-02-22,609.427185,638.206299,566.343018,578.494812,578.494812,3067630017
