Date,Open,High,Low,Close,Adj Close,Volume
2019-05-10,273.447174,288.163513,258.161682,268.045288,268.045288,3748844730
2019-05-11,268.176758,291.896362,261.026947,280.973389,280.973389,5095277515
2019-05-12,279.739410,284.023041,259.513000,263.855316,263.855316,3210008336
2019-05-13,263.855316,292.151306,262.899078,277.988892,277.988892,4458272860
2019-05-14,278.789032,288.525787,269.012604,281.136627,281.136627,4783181306
2019-05-15,281.053345,324.412018,280.578308,318.027557,318.027557,5716359515
2019-05-16,317.764221,335.086121,283.014862,300.492523,300.492523,5379215724
2019-05-17,300.252441,336.131317,277.226227,309.280334,309.280334,8280589038
2019-05-18,309.280334,349.308624,305.796143,331.599640,331.599640,5078215691
2019-05-19,331.070831,363.840393,327.023468,344.031036,344.031036,5766385357
2019-05-20,344.031036,345.204010,316.446106,330.004211,330.004211,4852488296
2019-05-21,329.289093,334.706665,317.466553,332.593781,332.593781,3989329041
2019-05-22,332.593781,334.347687,303.525543,303.611359,303.611359,3721251988
2019-05-23,303.149658,304.523926,288.779663,301.954224,301.954224,3492432788
2019-05-24,302.222931,330.914276,298.530792,310.333466,310.333466,5722322875
2019-05-25,310.333466,319.562225,301.511444,306.985718,306.985718,3010550306
2019-05-26,306.335754,315.346741,297.316956,312.767578,312.767578,3423461398
2019-05-27,313.319702,327.763214,313.319702,324.569092,324.569092,5279641893
2019-05-28,324.589294,335.464630,313.956848,331.695160,331.695160,3931380790
2019-05-29,331.695160,335.001678,314.976501,327.428741,327.428741,3662375021
2019-05-30,327.428741,456.787781,327.138855,414.212891,414.212891,19028536993
2019-05-31,414.212891,414.330170,368.249695,404.466766,404.466766,9514041233
2019-06-01,404.512085,438.409180,396.065033,402.171783,402.171783,8709084198
2019-06-02,402.171783,442.532135,389.925507,442.338989,442.338989,5894596058
2019-06-03,442.338989,501.655884,421.927032,457.383759,457.383759,14680326052
2019-06-04,457.016937,473.263123,403.050385,410.306519,410.306519,8991637107
2019-06-05,411.619080,436.214813,395.009491,429.174652,429.174652,6516617939
2019-06-06,428.867432,429.100891,393.078339,418.929932,418.929932,5393589407
2019-06-07,418.715820,456.512939,410.642883,439.886688,439.886688,7036648160
2019-06-08,439.895142,440.519897,415.039978,425.941589,425.941589,3487346388
2019-06-09,425.832062,429.832947,395.878571,407.280670,407.280670,3442051179
2019-06-10,406.151459,424.800873,399.959076,424.758636,424.758636,4276033673
2019-06-11,424.925629,429.222321,403.096954,415.212036,415.212036,3724693122
2019-06-12,415.215881,434.867310,409.504639,426.243378,426.243378,4427490810
2019-06-13,426.186890,453.777435,421.678955,437.207611,437.207611,4722007726
2019-06-14,437.257355,440.351349,415.221588,440.202026,440.202026,4815404159
2019-06-15,440.409760,440.409760,427.641357,433.296936,433.296936,3611916123
2019-06-16,433.296936,470.479309,430.350311,470.479309,470.479309,4939285567
2019-06-17,470.208221,496.057556,452.027161,490.390289,490.390289,5728485754
2019-06-18,490.231873,492.072479,452.330505,457.613556,457.613556,4055677634
2019-06-19,457.604706,473.797546,457.280884,462.831146,462.831146,3095232242
2019-06-20,462.527618,465.661987,438.082550,451.597717,451.597717,4373758909
2019-06-21,451.714783,458.745148,442.997894,453.353058,453.353058,4519826140
2019-06-22,453.605499,481.694580,452.684418,465.598236,465.598236,5740159897
2019-06-23,465.270508,497.815582,461.404419,473.332977,473.332977,4763757380
2019-06-24,473.332977,474.794312,453.206787,459.864380,459.864380,4038414543
2019-06-25,460.168915,466.205231,449.265137,456.183533,456.183533,5203795120
2019-06-26,456.183533,472.723206,429.270813,436.727539,436.727539,7981317190
2019-06-27,436.727539,441.682709,366.462158,377.637329,377.637329,9561156125
2019-06-28,377.833466,410.869019,371.233734,408.293854,408.293854,6930786388
2019-06-29,408.513275,424.548431,387.633759,419.188110,419.188110,5984004126
2019-06-30,419.211609,420.992157,373.259003,373.259003,373.259003,5754144277
2019-07-01,373.259003,391.426941,355.330780,376.424225,376.424225,6255983176
2019-07-02,376.160309,388.827271,352.100159,368.502441,368.502441,6592816546
2019-07-03,368.273163,387.730774,367.223358,385.669800,385.669800,6007838830
2019-07-04,385.761749,396.600739,376.771271,376.866119,376.866119,4608605336
2019-07-05,376.792633,378.598053,366.498138,366.804108,366.804108,4462077316
2019-07-06,366.917206,376.247162,360.670197,362.156189,362.156189,3948006606
2019-07-07,362.209167,371.979340,356.403198,370.072021,370.072021,3657150430
2019-07-08,370.232483,372.973877,352.689545,356.298157,356.298157,4065260000
2019-07-09,356.304749,357.643494,337.404724,343.317596,343.317596,7424554840
2019-07-10,342.383728,343.738739,289.382385,306.753967,306.753967,9371135826
2019-07-11,306.848053,317.884460,279.330933,297.650970,297.650970,15003666256
2019-07-12,297.954163,315.023865,289.825745,311.289581,311.289581,3807153907
2019-07-13,300.294739,311.947815,284.649323,293.448242,293.448242,16206629728
2019-07-14,293.576874,293.902771,261.767059,261.937073,261.937073,16273776894
2019-07-15,262.246857,303.921112,245.256393,287.101227,287.101227,16725937492
2019-07-16,287.179749,291.451630,244.087524,250.713226,250.713226,11638098012
2019-07-17,250.330643,276.381989,245.190628,263.704987,263.704987,13361043389
2019-07-18,264.902344,287.048706,255.137146,283.669739,283.669739,13479340265
2019-07-19,283.669739,288.949707,263.897583,271.294281,271.294281,12164007374
2019-07-20,271.766296,290.693390,271.631531,280.665375,280.665375,12293883311
2019-07-21,280.665375,298.013611,275.635803,291.070099,291.070099,12597911653
2019-07-22,290.545258,299.470734,269.223480,275.711914,275.711914,8883742085
2019-07-23,275.851379,275.851379,256.242706,257.065216,257.065216,8465756454
2019-07-24,257.660431,280.136597,250.032028,269.793793,269.793793,9627340569
2019-07-25,269.427399,278.249725,263.590881,265.153900,265.153900,8221882715
2019-07-26,264.502106,270.315979,256.882599,268.873657,268.873657,8033887281
2019-07-27,268.671356,276.156616,245.516998,249.049057,249.049057,8075000120
2019-07-28,249.049057,252.741043,241.195297,249.190918,249.190918,7596186858
2019-07-29,249.008469,253.749649,244.030655,247.733932,247.733932,8241157508
2019-07-30,247.757553,252.086121,241.704376,247.576462,247.576462,7888196401
2019-07-31,247.478424,258.549591,247.478424,252.477249,252.477249,7951157368
2019-08-01,252.340088,253.892395,239.503662,246.566467,246.566467,4743662374
2019-08-02,246.356110,269.768280,244.341415,254.851517,254.851517,7447251745
2019-08-03,254.645782,264.267487,253.372391,258.125916,258.125916,6600005526
2019-08-04,257.952606,263.230499,250.298157,251.535492,251.535492,6305938467
2019-08-05,251.374146,275.313873,251.374146,269.792725,269.792725,9449951956
2019-08-06,269.835205,270.163391,248.665482,252.076767,252.076767,8968987453
2019-08-07,251.729111,260.967133,246.380997,248.772705,248.772705,9104814024
2019-08-08,248.772705,249.028030,222.662308,229.928726,229.928726,9104781025
2019-08-09,230.359100,233.164810,218.939850,223.042786,223.042786,8622328629
2019-08-10,223.042786,239.068954,222.853455,237.025055,237.025055,9326631906
2019-08-11,237.191193,250.716461,233.931076,250.396286,250.396286,8512945962
2019-08-12,250.482986,258.327454,237.530945,237.530945,237.530945,9760725677
2019-08-13,237.635483,238.171387,223.807465,231.029358,231.029358,9261086701
2019-08-14,230.813873,232.826141,203.630020,203.630020,203.630020,10267004695
2019-08-15,203.730942,214.595917,194.417587,210.738007,210.738007,8438984473
2019-08-16,210.569107,214.792221,201.924515,207.671188,207.671188,9160882460
2019-08-17,209.702652,209.702652,201.946701,206.368896,206.368896,7180971202
2019-08-18,206.733276,213.053009,203.928360,211.767334,211.767334,7466374649
2019-08-19,212.395370,212.395370,200.043594,208.840012,208.840012,8663990433
2019-08-20,208.840012,209.260757,199.530106,206.458069,206.458069,8646071395
2019-08-21,204.950745,206.379822,185.852570,189.478317,189.478317,9291459843
2019-08-22,189.478317,197.211304,183.734894,195.631119,195.631119,7398288445
2019-08-23,195.631119,197.219452,186.294296,194.253433,194.253433,9317317501
2019-08-24,193.655350,196.760468,187.392929,193.942444,193.942444,7662759771
2019-08-25,193.942444,196.857635,187.018753,187.264664,187.264664,7483785298
2019-08-26,188.075989,193.245178,186.284927,189.026733,189.026733,7450218122
2019-08-27,188.670853,190.024109,178.941605,183.261749,183.261749,8842736879
2019-08-28,183.808105,186.794037,166.773865,166.773865,166.773865,9466228900
2019-08-29,167.352203,167.352203,154.803955,155.906815,155.906815,10349704512
2019-08-30,155.906815,159.899094,151.092667,154.918396,154.918396,7115751709
2019-08-31,155.068939,156.014130,143.904739,146.199478,146.199478,7680003998
2019-09-01,146.473297,159.723251,144.341629,153.406219,153.406219,7912898958
2019-09-02,153.338745,156.388092,148.842545,152.638687,152.638687,8450663270
2019-09-03,152.571991,160.379990,152.281677,155.996780,155.996780,9235199687
2019-09-04,155.862137,156.136734,146.437332,147.406418,147.406418,7712780841
2019-09-05,147.300339,147.521683,137.427551,140.131500,140.131500,8146829883
2019-09-06,140.131500,161.370743,139.894684,146.465912,146.465912,9561806103
2019-09-07,146.713058,163.963730,146.100494,155.956833,155.956833,10491513201
2019-09-08,155.956833,196.800369,154.785812,195.979721,195.979721,14063693859
2019-09-09,195.979721,212.415787,175.567047,196.689621,196.689621,16155044343
2019-09-10,196.595779,210.599075,182.418427,186.451263,186.451263,13590015757
2019-09-11,186.738205,193.940292,173.720337,184.261902,184.261902,10311165655
2019-09-12,184.764465,227.336395,179.661514,219.614670,219.614670,13757344116
2019-09-13,219.614670,234.259674,214.055847,225.422150,225.422150,14176584300
2019-09-14,225.387726,229.787704,213.090500,220.603424,220.603424,12333001657
2019-09-15,220.564285,251.538467,220.339157,244.939545,244.939545,13444392242
2019-09-16,244.693893,252.945404,227.660233,238.200348,238.200348,12974293422
2019-09-17,238.856750,246.481613,230.815247,238.285645,238.285645,12725445962
2019-09-18,237.714737,242.859818,232.481812,235.625824,235.625824,11638466470
2019-09-19,235.432083,235.432083,209.930420,223.479172,223.479172,13147580136
