Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,65.549660,66.867844,64.886261,65.745789,65.745789,48624214395
2017-11-12,65.552261,72.061089,63.048882,65.972549,65.972549,95528471685
2017-11-13,65.451920,67.243515,63.796116,66.041763,66.041763,50242652214
2017-11-14,65.772850,66.308723,65.269402,65.846680,65.846680,28112712154
2017-11-15,65.699532,65.968399,65.276314,65.467529,65.467529,29345529982
2017-11-16,65.639816,66.001007,64.848122,65.428413,65.428413,42456714343
2017-11-17,65.013039,65.706940,65.013039,65.100365,65.100365,41567265020
2017-11-18,65.052261,65.606789,64.772064,65.160179,65.160179,38234721360
2017-11-19,65.164078,65.496925,64.795013,65.168625,65.168625,31578802010
2017-11-20,65.099709,65.288986,64.869637,65.219978,65.219978,29266387046
2017-11-21,65.320877,65.803841,64.291779,64.613571,64.613571,40391242187
2017-11-22,64.703087,65.095573,64.278122,64.879730,64.879730,32422804440
2017-11-23,64.782944,65.190704,64.098640,64.208405,64.208405,47504927581
2017-11-24,64.822258,65.131096,63.894222,64.820679,64.820679,54880770691
2017-11-25,64.820038,65.256561,64.351563,65.019859,65.019859,42164061891
2017-11-26,64.942909,65.796555,64.706215,65.231339,65.231339,41159348771
2017-11-27,65.106522,65.862175,64.351677,64.555664,64.555664,50574613967
2017-11-28,64.657532,64.887764,64.250076,64.409012,64.409012,51182803661
2017-11-29,64.408379,67.467758,61.494019,63.745499,63.745499,107600926119
2017-11-30,64.598389,66.310638,63.773979,65.002289,65.002289,67315184568
2017-12-01,64.944260,65.718658,64.046310,65.140907,65.140907,48343533896
2017-12-02,65.087364,65.591835,64.226868,64.487679,64.487679,43863575532
2017-12-03,64.575798,66.415619,63.562992,64.552574,64.552574,61074777474
2017-12-04,64.668053,65.292648,64.002434,64.606239,64.606239,43031989730
2017-12-05,64.595940,64.908783,64.181862,64.476776,64.476776,52390294070
2017-12-06,64.334557,65.823181,64.186867,65.159393,65.159393,82681737897
2017-12-07,64.976151,69.538658,64.629082,66.603966,66.603966,107919140567
2017-12-08,66.905464,68.203201,63.579056,65.604675,65.604675,128490645131
2017-12-09,65.796799,67.516853,64.054817,65.574371,65.574371,103081724605
2017-12-10,65.892212,67.349228,62.634926,65.614342,65.614342,106343267063
2017-12-11,65.290054,66.326187,64.466774,65.544342,65.544342,99235417882
2017-12-12,65.561073,69.651436,64.511078,69.415474,69.415474,144310091878
2017-12-13,69.613182,70.067207,65.704193,66.200462,66.200462,141670116813
2017-12-14,66.172104,67.587906,64.760368,64.856865,64.856865,150286457341
2017-12-15,64.961723,65.534904,64.042122,65.101532,65.101532,130991112950
2017-12-16,65.182251,65.311035,64.186607,64.545395,64.545395,102046210075
2017-12-17,64.822182,65.120750,64.253235,64.662010,64.662010,123720453451
2017-12-18,64.744019,65.374863,63.956379,65.035889,65.035889,161606171136
2017-12-19,65.042946,66.259384,63.842991,64.734055,64.734055,196880739149
2017-12-20,64.588661,65.279114,63.350510,64.121536,64.121536,240527262029
2017-12-21,64.258095,66.607048,63.713223,64.599533,64.599533,198861147199
2017-12-22,64.416466,67.826775,61.652142,65.158981,65.158981,300075668233
2017-12-23,64.803085,67.338524,64.474709,66.907089,66.907089,150662899448
2017-12-24,67.255943,68.440765,65.407333,65.484154,65.484154,167167868730
2017-12-25,65.704979,66.040398,64.582245,64.722427,64.722427,109353405848
2017-12-26,64.681458,65.133919,63.989006,64.300644,64.300644,118780113249
2017-12-27,64.340347,65.101990,63.892887,64.344643,64.344643,124370191423
2017-12-28,64.322205,66.219147,64.135254,64.492226,64.492226,141685033575
2017-12-29,64.771568,64.799576,63.926205,64.190002,64.190002,123133817764
2017-12-30,64.322769,66.050011,63.373104,65.192772,65.192772,173046957758
2017-12-31,65.381706,65.381706,63.847237,64.612556,64.612556,123001051364
2018-01-01,64.631065,64.653046,63.772427,64.138550,64.138550,107311475462
2018-01-02,64.040497,64.304108,63.021713,63.760902,63.760902,167245314969
2018-01-03,63.868771,64.998749,63.617508,64.353439,64.353439,156952313984
2018-01-04,64.338203,64.527435,63.003345,63.555389,63.555389,202872244393
2018-01-05,63.505939,63.712608,62.437996,63.243488,63.243488,196108946626
2018-01-06,63.347733,64.095657,63.130318,63.899342,63.899342,165929674506
2018-01-07,63.790409,64.325546,63.216511,63.429428,63.429428,148076945480
